,Enter Time,Exit Time
0,2024-01-31 15:49:15.731416,2024-01-31 15:49:16.800079
1,2024-01-31 15:49:18.177625,2024-01-31 15:49:18.379666
2,2024-01-31 15:49:18.408648,2024-01-31 15:49:18.477429
3,2024-01-31 15:49:18.506360,2024-01-31 15:49:19.193512
4,2024-01-31 15:49:20.686479,2024-01-31 15:49:20.720187
5,2024-01-31 15:49:20.753605,2024-01-31 15:49:22.620589
6,2024-01-31 15:49:24.595342,2024-01-31 15:49:27.456883
7,2024-01-31 15:49:28.661288,2024-01-31 15:49:29.455498
8,2024-01-31 15:49:29.522915,2024-01-31 15:49:37.237123
9,2024-01-31 15:49:37.903131,2024-01-31 15:49:38.775936
